,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
0,91F6EB84975BBC867E32CB113C7C2CD5,AD8751110E6292079EB10EB9481FE1A6,CMT,1,N,4/04/2013 18:47,4/04/2013 19:00,1,759,2.5,-73.957855,40.76532,-73.976273,40.785648
1,EC34CD1B3797DFAFF3FE099BA87B6656,8FE6A4AEDF89B6B4E19D2377FD3FB7D7,CMT,1,N,5/04/2013 7:08,5/04/2013 7:17,1,540,1.6,0,0,0,0
2,C1B9DA774DC2BBC6DE27CE994E7F44A0,E1B595FD55E4C82C1E213EB17438107A,CMT,1,N,4/04/2013 17:59,4/04/2013 18:21,1,1318,3.6,-73.98288,40.75499,-74.009186,40.715374
3,9BA84250355AB3FC031C9252D395BF8A,16BB0D96A0DCC853AEC7F55C8D6C71E0,CMT,1,N,4/04/2013 18:12,4/04/2013 18:25,1,799,1.9,-73.978119,40.763451,-73.955666,40.776642
4,205A696DF62AD03C88DA8C5EC5248639,579C41EA5EC846F8B641A42F9EE3E855,CMT,1,N,4/04/2013 20:12,4/04/2013 20:29,1,1017,3.6,-74.006371,40.744755,-73.961662,40.761082
5,EE75E5927D00739AC342810C336A825E,1B4E92431F9DA4D49874EC76E769E874,CMT,1,N,5/04/2013 2:48,5/04/2013 2:51,2,189,0.7,-73.985191,40.754932,-73.990776,40.747997
6,3B5DA0DE0868F37FD41204DB36CE87CA,BC7B6E5A0132450CAE072F3C8F60BBE4,CMT,1,N,5/04/2013 6:16,5/04/2013 6:22,1,354,1.2,-73.985168,40.76342,-73.978867,40.751144
7,00B99071EE4DC8266384113B91E6AC13,013DB7F394A06CD241688F0F3E93F2F1,CMT,1,N,5/04/2013 6:20,5/04/2013 6:27,1,452,1.6,-73.980026,40.745785,-74.002747,40.756168
8,75FEF473DB69BA7BC5D61F5635792E1E,FCD2C03A60D84CE91A4DEB5E6A097FCF,CMT,1,N,4/04/2013 19:20,4/04/2013 19:30,1,635,0.4,-73.978477,40.76123,-73.984566,40.759415
9,13A57EE874E2560DF1F9D6C639BB7DAB,5FE3733438871FE98C05D259E8693750,CMT,1,N,3/04/2013 18:05,3/04/2013 18:23,1,1048,2.4,-73.961342,40.764793,-73.988472,40.756004
10,7D712A934296BF961DBFF6A1C3FA6782,DEEF1A0383AF583019CF1E2628E00D12,CMT,1,N,3/04/2013 18:04,3/04/2013 18:11,1,439,1.1,-73.989288,40.747784,-73.982071,40.771233
